	faith_pd
B.F 1.1	66.34058650944556
B.F 1.2	43.79209667181965
B.F 1.3	22.07643287440675
B.F 2.1	25.73814015141363
B.F 2.2	28.321476159686256
B.F 2.3	27.886934764294267
B.F 3.1	12.407220946207701
B.F 3.2	28.48662527680042
B.F 3.3	26.627064217109478
B.F 4.1	27.047394290889542
B.F 4.2	29.089171868349638
B.F 4.3	18.187698944077226
B.F 5.1	30.78335018306484
B.F 5.2	18.23892316063376
B.F 5.3	20.956129608449316
B.F 6.1	47.529218028765406
B.F 6.2	77.03364079868928
B.F 6.3	25.74938985070969
B.F 7.1	27.850371378647708
B.F 7.2	30.683789529550268
B.F 7.3	31.887597347404267
